,Open,High,Low,Close,Volume
2024-12-05 13:11:55.318384,1600.0,1639.7755117486597,1540.9662247592155,1592.0119533511058,2113357
2024-12-06 13:11:55.318384,1708.9367378766906,1708.9367378766906,1465.3886484487525,1619.329339236501,2835603
2024-12-09 13:11:55.318384,1622.7789227870464,1718.4467832012408,1537.9322607026413,1625.9442930971215,1613055
2024-12-10 13:11:55.318384,1621.6613942842496,1645.2183539675775,1446.5817396006055,1621.985504271776,1527661
2024-12-11 13:11:55.318384,1536.4055347929182,1730.6808549976636,1536.4055347929182,1607.5527590936797,1981476
2024-12-12 13:11:55.318384,1554.5639102963457,1700.8038881346706,1554.5639102963457,1625.1544728703238,2364724
2024-12-13 13:11:55.318384,1673.5287192530986,1777.2418741717534,1452.007618743411,1621.8896088313159,1815795
2024-12-16 13:11:55.318384,1626.4438911786262,1629.133680463365,1465.4501545427408,1619.668598230822,1885664
2024-12-17 13:11:55.318384,1578.3470319711585,1737.3342421342818,1565.1821031490695,1635.1219031640057,1450408
2024-12-18 13:11:55.318384,1697.8526138302393,1785.41272524699,1584.5891012038119,1644.6706292072531,1437110
2024-12-19 13:11:55.318384,1694.0262959078777,1694.0262959078777,1550.7625815169717,1637.6289066082975,2056062
2024-12-20 13:11:55.318384,1540.9847448111743,1772.0013938484587,1488.6403526040515,1624.7682221629216,1628166
2024-12-23 13:11:55.318384,1646.7514637954453,1655.1683880001995,1514.997938606593,1636.9135950882192,2241405
2024-12-24 13:11:55.318384,1697.3808768455679,1697.3808768455679,1537.1917671955134,1603.659456996407,2584744
2024-12-25 13:11:55.318384,1684.604631295738,1684.604631295738,1437.0453396805692,1583.7985249689655,1624665
2024-12-26 13:11:55.318384,1592.450590444229,1622.0557890030652,1536.147486383147,1621.9694538307149,2450456
2024-12-27 13:11:55.318384,1555.1960045908538,1713.3133097691089,1524.5215148829063,1653.391434203301,2838400
2024-12-30 13:11:55.318384,1608.8646836161201,1840.1876487081745,1608.8646836161201,1691.738438729294,3167316
2024-12-31 13:11:55.318384,1536.1810696674024,1852.3858425333447,1536.1810696674024,1702.3180170646451,1259354
2025-01-01 13:11:55.318384,1722.1521099123074,1790.1264947749853,1649.4470847024486,1689.4716468931128,2048235
2025-01-02 13:11:55.318384,1727.894432832112,1828.6083782640783,1499.798205140357,1656.4038719392695,2589055
2025-01-03 13:11:55.318384,1612.3702400178074,1783.057535920063,1612.3702400178074,1704.4203052558703,1992598
2025-01-06 13:11:55.318384,1583.5691664060662,1783.6550560136534,1583.5691664060662,1737.0573806589398,2688573
2025-01-07 13:11:55.318384,1738.7885081918869,1864.3475605285562,1735.9419207736664,1738.5575705084239,1736666
2025-01-08 13:11:55.318384,1797.9567288101139,1910.367657815844,1720.5961433763734,1740.7771491285876,1384260
2025-01-09 13:11:55.318384,1769.132517601198,1830.6508765976787,1566.7731096623888,1705.3212419016675,2666874
2025-01-10 13:11:55.318384,1603.019700922191,1841.8975759360383,1603.019700922191,1735.347311235465,1625931
2025-01-13 13:11:55.318384,1823.3511962186503,1900.408773895887,1667.2345685053708,1734.513817753897,1349329
2025-01-14 13:11:55.318384,1665.358633299941,1869.5288801490758,1665.358633299941,1773.5468088141058,1884209
2025-01-15 13:11:55.318384,1767.960341170865,1901.8053575302204,1669.5330811143156,1780.146422164949,1720539
2025-01-16 13:11:55.318384,1721.092407344052,1892.202817030082,1704.2451198895883,1785.6276647238044,1959465
2025-01-17 13:11:55.318384,1664.5275481757901,1766.489247020539,1575.444609033858,1762.328281771346,1531154
2025-01-20 13:11:55.318384,1778.0967103404623,1974.6166828728308,1619.3271998702114,1795.6015770260208,2545325
2025-01-21 13:11:55.318384,1713.6393507915366,1895.0730815946545,1713.6393507915366,1813.40082661374,1825245
2025-01-22 13:11:55.318384,1669.4157087337283,1892.1030443911873,1669.4157087337283,1817.8981702177023,1966362
2025-01-23 13:11:55.318384,1745.5049237855712,1906.4657028223678,1656.9510891791908,1854.8585105589898,2622237
2025-01-24 13:11:55.318384,1857.013282083947,1933.7964169638562,1793.8856630928183,1905.0592960767553,2192477
2025-01-27 13:11:55.318384,1741.7900742154343,2172.244324151079,1741.7900742154343,1964.6023686647623,3523240
2025-01-28 13:11:55.318384,2032.8814547217999,2116.342738867491,1926.1794201903529,1944.98148416902,2115746
2025-01-29 13:11:55.318384,1994.7591239555197,2091.456473009741,1809.2234413132842,1924.0020958135894,1514401
2025-01-30 13:11:55.318384,1920.4256431617698,2055.316805371991,1779.035162302232,1951.602813033657,1731030
2025-01-31 13:11:55.318384,2034.5031994472436,2193.6088581662566,1840.7475548015639,1985.1280234238704,2021516
2025-02-03 13:11:55.318384,1958.0130909309457,2049.339689881635,1958.0130909309457,1993.0781197007686,1552051
2025-02-04 13:11:55.318384,1912.7388937680664,2040.7384916087196,1912.7388937680664,2012.8982612816103,2140993
2025-02-05 13:11:55.318384,2144.238254619096,2278.7119412001502,1891.0955575295345,2062.187534621169,2011957
2025-02-06 13:11:55.318384,1988.6498624737949,2291.6496914062054,1988.6498624737949,2078.7020100015015,1445675
2025-02-07 13:11:55.318384,2131.320727718109,2298.924262208521,2032.954481560383,2091.350758517973,1940988
2025-02-10 13:11:55.318384,2116.3975050363474,2299.8416857872608,1951.8307569136766,2088.2508989130956,1205962
2025-02-11 13:11:55.318384,2221.463823253479,2249.779633516454,2043.3037692277985,2124.203603828646,2551817
2025-02-12 13:11:55.318384,2171.909213498911,2385.857466355125,1923.2744205971012,2159.9194041263804,1876954
2025-02-13 13:11:55.318384,2222.4705651617596,2379.4842801798604,2040.4963553351163,2209.3920443232664,2437735
2025-02-14 13:11:55.318384,2235.642883066588,2235.642883066588,2023.79850445844,2163.865490968599,2507823
2025-02-17 13:11:55.318384,2387.581687596334,2387.581687596334,2025.1931725615739,2212.958854807325,2484292
2025-02-18 13:11:55.318384,2216.9389439370475,2396.900553356673,2174.2377339403583,2235.490897287365,1346035
2025-02-19 13:11:55.318384,2181.7246762533396,2335.501472838707,1969.5137444695667,2209.297239569064,1882935
2025-02-20 13:11:55.318384,2234.316310160025,2300.327693696743,2013.4103254569739,2182.5477027136076,2248432
2025-02-21 13:11:55.318384,2294.087952004743,2294.087952004743,2056.811172838067,2196.447866538008,1450482
2025-02-24 13:11:55.318384,1984.1150534744766,2246.594364900213,1973.211124469203,2181.0127114946313,2148552
2025-02-25 13:11:55.318384,2082.7214500797118,2310.4342104366256,2082.7214500797118,2187.0404453895258,1865752
2025-02-26 13:11:55.318384,2100.579143879543,2441.9650051630065,2053.3986405477776,2236.617208118518,3028430
2025-02-27 13:11:55.318384,2228.6448426944226,2274.556347345499,2115.547430366606,2254.5852977576437,1960606
2025-02-28 13:11:55.318384,2274.1773638265213,2365.130512977262,2163.116344262879,2232.070073825487,2245854
2025-03-03 13:11:55.318384,2057.9050430907587,2356.5948592232353,2057.9050430907587,2222.2277865005663,2062496
2025-03-04 13:11:55.318384,2208.8643678575972,2334.6372997771027,1954.020188625035,2151.41134271052,2401558
2025-03-05 13:11:55.318384,1978.06899995761,2284.143735819659,1978.06899995761,2126.8321253336794,1585943
2025-03-06 13:11:55.318384,2235.523668581936,2235.523668581936,2050.091114126507,2151.7262877319336,2301660
2025-03-07 13:11:55.318384,2149.5253727403688,2357.295247579415,2101.891175743175,2159.4452593772776,1212786
2025-03-10 13:11:55.318384,2132.0625499374382,2209.1784992976327,2086.6024733946842,2159.747193873617,1091977
2025-03-11 13:11:55.318384,2351.315375070417,2351.315375070417,1942.1481700446502,2153.1672840468755,1370112
2025-03-12 13:11:55.318384,2294.5743141810867,2294.5743141810867,1918.3463081861814,2147.9029818366835,1277713
2025-03-13 13:11:55.318384,2122.087549100415,2207.7345489260083,2121.6197392411577,2146.4583652851834,1229823
2025-03-14 13:11:55.318384,2048.42953131205,2256.6323941553337,2048.42953131205,2189.3378293398755,1969141
2025-03-17 13:11:55.318384,2219.5737178507106,2273.393792542905,1944.8228458679857,2176.7312599376664,1319602
2025-03-18 13:11:55.318384,2290.7434509458226,2290.7434509458226,2148.8171268547194,2171.222020373603,1917121
2025-03-19 13:11:55.318384,2099.307298499218,2373.3394557457063,2079.142977309189,2163.5058665666793,1631926
2025-03-20 13:11:55.318384,2283.5451098261346,2420.832415201117,2128.1305593376273,2189.3711482201534,2018084
2025-03-21 13:11:55.318384,2222.6095348265253,2222.76020785936,2037.9616863378153,2121.561989479456,3219865
2025-03-24 13:11:55.318384,2137.510538623569,2148.548749040719,2110.485374333353,2130.5627584982285,1648175
2025-03-25 13:11:55.318384,2257.1440849441806,2324.6851362111847,2071.193435783561,2138.2237173099293,1645380
2025-03-26 13:11:55.318384,2237.0159974736252,2249.657359061541,2066.0363350037214,2139.8111188203748,1109908
2025-03-27 13:11:55.318384,2113.7881175689945,2165.4429979892802,1987.4549982152803,2135.219444891314,1648145
2025-03-28 13:11:55.318384,2235.581770148418,2262.3109362911937,1926.2434545563888,2142.631525882745,1782574
2025-03-31 13:11:55.318384,2020.7852622763985,2211.810485248965,2020.7852622763985,2115.3967844169388,2356422
2025-04-01 13:11:55.318384,2055.8252239579465,2343.1844838129014,1946.9849395561907,2130.171132239135,1899188
2025-04-02 13:11:55.318384,2212.170444565709,2317.9811298938844,1989.8980522706129,2176.0457048604108,2820727
2025-04-03 13:11:55.318384,2160.5887749686085,2192.2986575092814,1982.8631606109836,2189.260339895663,1718494
2025-04-04 13:11:55.318384,2255.867427962247,2314.3370107945657,2074.3598569110272,2148.0311486048004,2664035
2025-04-07 13:11:55.318384,2079.6641660390774,2280.8972911323785,1999.0891435748433,2148.3918987269726,1037388
2025-04-08 13:11:55.318384,2112.612009627827,2285.723165050638,2112.612009627827,2146.574760985909,1832940
2025-04-09 13:11:55.318384,2191.452629601822,2384.764638083721,2089.640516025551,2174.4109181987014,2477091
2025-04-10 13:11:55.318384,2207.4478166290387,2256.72689765584,2146.5097523917743,2198.878496364217,2484819
2025-04-11 13:11:55.318384,2059.6783644101506,2329.366128393612,2005.4824209187084,2201.8305298922082,1618161
2025-04-14 13:11:55.318384,2147.8830338934736,2419.727738894898,2065.937514493528,2228.1217481061294,1402014
2025-04-15 13:11:55.318384,2151.9893809419605,2229.6153909081554,2001.677090754819,2215.547635915141,1817198
2025-04-16 13:11:55.318384,2279.2015218618862,2401.558791339784,2166.636043509389,2176.8133307256358,2574934
2025-04-17 13:11:55.318384,2179.575325880194,2249.1161018248526,2013.0177798700709,2168.636574933265,1936029
2025-04-18 13:11:55.318384,2063.023492217939,2260.764017377242,1964.2800082265821,2157.9535634516897,1734713
2025-04-21 13:11:55.318384,2164.144987999578,2291.1800933969507,2079.4032230601697,2188.064521337073,1570341
2025-04-22 13:11:55.318384,2328.5442593511734,2409.8382329469096,2080.8305453863686,2201.628893141806,2055814
2025-04-23 13:11:55.318384,2230.8120864594184,2277.4727554674855,2113.0990292857186,2181.511761551661,1538361
2025-04-24 13:11:55.318384,2310.7611670291985,2310.7611670291985,1980.9281785983799,2147.9980064656484,2685926
2025-04-25 13:11:55.318384,2168.2835174517345,2297.267337718307,1939.5673405592554,2167.3073959857797,2044096
2025-04-28 13:11:55.318384,2315.3417978435564,2315.3417978435564,2060.509732138324,2153.4332601423125,1703614
2025-04-29 13:11:55.318384,2292.4973019635954,2292.4973019635954,1909.841098435425,2144.2514125484545,2031291
2025-04-30 13:11:55.318384,2033.868078555272,2241.441764246487,1906.1831083121551,2112.0863073944442,2494930
2025-05-01 13:11:55.318384,2075.997942913134,2163.7810166263707,2008.828719466987,2136.7550337383177,1895855
2025-05-02 13:11:55.318384,2072.5447465313073,2316.3253833403674,2072.5447465313073,2125.052255117975,1502390
2025-05-05 13:11:55.318384,2139.0468960270837,2139.0468960270837,1878.3675005900752,2066.620006007064,2551117
2025-05-06 13:11:55.318384,2176.502312061785,2182.5392307808647,2012.3474303737748,2072.1207110095575,1102338
2025-05-07 13:11:55.318384,2143.391884202357,2151.7730641395246,2018.4073681340324,2054.4207168868065,2128885
2025-05-08 13:11:55.318384,1979.9686242364216,2141.3281125141984,1930.985453783943,2076.8437114372923,2118393
2025-05-09 13:11:55.318384,2140.8414132936396,2182.3513943516264,1839.6754883589479,2060.717622761452,1319447
2025-05-12 13:11:55.318384,2039.248668108038,2181.1860122379117,2039.248668108038,2069.43522563644,1559927
2025-05-13 13:11:55.318384,1986.4838762889876,2131.65535261704,1974.4806130503027,2078.1447649831475,1227023
2025-05-14 13:11:55.318384,2157.722148538362,2215.349593122487,2071.0760844926226,2071.341361413575,2014506
2025-05-15 13:11:55.318384,2075.3579921444525,2230.156207982997,2016.7812882844523,2112.9079300783924,1838749
2025-05-16 13:11:55.318384,1972.7797189663802,2210.488583580106,1894.9070992199204,2070.4105420141163,1997382
2025-05-19 13:11:55.318384,2234.3543393742348,2234.3543393742348,2007.9334184071984,2039.7263615785705,2178647
2025-05-20 13:11:55.318384,2096.734525220682,2239.456235990885,2027.1513162878339,2071.643184403774,1859951
2025-05-21 13:11:55.318384,2100.348841169508,2102.5859222815234,1927.516112588279,2086.5266628001627,1409470
2025-05-22 13:11:55.318384,2104.1344266238893,2231.4895262022637,1953.9468711366546,2081.5414529129034,1633112
2025-05-23 13:11:55.318384,2008.0381366210036,2203.789602860588,1919.1534770058647,2100.583440005424,1419201
2025-05-26 13:11:55.318384,1826.9824231308514,2207.356217960432,1826.9824231308514,2117.1981492939944,1933195
